n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 2.00, 1.00,2, 0.00, 151.00, 0.00, 0, 0,
 600, 3.00, 0.00,2, 0.00, 152.00, 9.00, 7, 7,
 900, 3.00, 0.00,2, 1.00, 152.00, 14.00, 12, 11,
 200, 4.00, 0.00,3, 0.00, 154.00, 3.00, 2, 2,
 700, 3.00, 0.00,2, 1.00, 152.00, 8.00, 9, 9,
 50, 3.00, 0.00,3, 0.00, 154.00, 0.00, 0, 0,
 300, 2.00, 1.00,2, 0.00, 152.00, 5.00, 3, 3,
 400, 3.00, 0.00,3, 0.00, 158.00, 4.00, 3, 3,
 500, 3.00, 0.00,2, 1.00, 152.00, 7.00, 5, 5,
 800, 3.00, 1.00,2, 1.00, 158.00, 9.00, 9, 9,
 100, 3.00, 0.00,2, 0.00, 152.00, 0.00, 0, 0,
 1000, 4.00, 0.00,3, 0.00, 163.00, 15.00, 12, 11,
