n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 6.00, 0.00,6, 0.00, 495.00, 0.00, 0, 0,
 600, 5.00, 1.00,5, 0.00, 508.00, 3.00, 7, 5,
 900, 7.00, 0.00,5, 1.00, 495.00, 4.00, 13, 8,
 200, 6.00, 0.00,5, 1.00, 497.00, 1.00, 2, 2,
 700, 6.00, 0.00,6, 0.00, 498.00, 3.00, 10, 6,
 50, 5.00, 1.00,5, 0.00, 496.00, 0.00, 0, 0,
 300, 5.00, 1.00,5, 1.00, 502.00, 0.00, 3, 2,
 400, 5.00, 0.00,6, 0.00, 496.00, 1.00, 4, 2,
 500, 6.00, 0.00,5, 0.00, 499.00, 3.00, 6, 4,
 800, 6.00, 0.00,6, 1.00, 500.00, 3.00, 11, 7,
 100, 6.00, 0.00,6, 0.00, 494.00, 0.00, 0, 0,
 1000, 6.00, 0.00,5, 1.00, 500.00, 4.00, 13, 8,
