n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 2.00, 1.00,2, 0.00, 153.00, 0.00, 0, 0,
 600, 3.00, 0.00,2, 0.00, 151.00, 9.00, 7, 7,
 900, 2.00, 0.00,2, 0.00, 152.00, 14.00, 12, 11,
 200, 3.00, 0.00,2, 1.00, 152.00, 3.00, 2, 2,
 700, 3.00, 0.00,2, 0.00, 153.00, 9.00, 9, 9,
 50, 3.00, 0.00,2, 0.00, 152.00, 0.00, 0, 0,
 300, 3.00, 0.00,3, 0.00, 154.00, 4.00, 3, 3,
 400, 3.00, 0.00,2, 0.00, 152.00, 4.00, 3, 3,
 500, 3.00, 1.00,2, 0.00, 151.00, 7.00, 5, 5,
 800, 5.00, 0.00,4, 1.00, 174.00, 9.00, 9, 9,
 100, 7.00, 0.00,3, 1.00, 154.00, 0.00, 0, 0,
 1000, 3.00, 0.00,2, 1.00, 153.00, 15.00, 12, 11,
