n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 3.00, 0.00,2, 0.00, 189.00, 0.00, 0, 0,
 600, 4.00, 0.00,2, 1.00, 189.00, 112.00, 12, 12,
 900, 4.00, 0.00,3, 1.00, 188.00, 98.00, 8, 8,
 200, 4.00, 0.00,3, 0.00, 186.00, 45.00, 1, 1,
 700, 4.00, 0.00,2, 1.00, 186.00, 230.00, 10, 5,
 50, 3.00, 0.00,3, 0.00, 182.00, 0.00, 0, 0,
 300, 4.00, 0.00,2, 1.00, 184.00, 0.00, 0, 0,
 400, 4.00, 0.00,3, 1.00, 191.00, 9.00, 5, 4,
 500, 3.00, 0.00,3, 0.00, 189.00, 25.00, 7, 5,
 800, 3.00, 0.00,3, 0.00, 185.00, 171.00, 13, 10,
 100, 3.00, 0.00,3, 0.00, 186.00, 8.00, 3, 3,
 1000, 4.00, 0.00,3, 0.00, 186.00, 91.00, 16, 14,
