n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 4.00, 0.00,3, 0.00, 242.00, 0.00, 0, 0,
 600, 4.00, 0.00,3, 1.00, 243.00, 0.00, 0, 0,
 900, 4.00, 0.00,3, 0.00, 241.00, 1.00, 2, 1,
 200, 4.00, 0.00,3, 0.00, 243.00, 1.00, 0, 0,
 700, 4.00, 0.00,3, 0.00, 243.00, 2.00, 1, 1,
 50, 4.00, 0.00,3, 0.00, 243.00, 0.00, 0, 0,
 300, 4.00, 0.00,3, 0.00, 239.00, 0.00, 0, 0,
 400, 4.00, 0.00,4, 0.00, 242.00, 2.00, 2, 1,
 500, 4.00, 0.00,3, 0.00, 243.00, 0.00, 1, 0,
 800, 4.00, 0.00,3, 0.00, 244.00, 2.00, 3, 1,
 100, 4.00, 0.00,3, 0.00, 244.00, 2.00, 2, 2,
 1000, 4.00, 0.00,4, 0.00, 244.00, 3.00, 5, 3,
