n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 1.00, 0.00,1, 0.00, 11.00, 0.00, 0, 0,
 600, 2.00, 1.00,0, 1.00, 12.00, 13.00, 10, 8,
 900, 3.00, 0.00,1, 0.00, 11.00, 10.00, 9, 7,
 200, 1.00, 0.00,1, 0.00, 11.00, 3.00, 1, 1,
 700, 1.00, 0.00,1, 0.00, 11.00, 11.00, 14, 8,
 50, 2.00, 1.00,0, 1.00, 13.00, 1.00, 0, 0,
 300, 3.00, 0.00,1, 0.00, 16.00, 3.00, 2, 2,
 400, 2.00, 1.00,0, 1.00, 16.00, 6.00, 8, 6,
 500, 3.00, 0.00,1, 0.00, 14.00, 6.00, 11, 8,
 800, 3.00, 0.00,1, 0.00, 17.00, 12.00, 10, 8,
 100, 1.00, 0.00,0, 1.00, 12.00, 3.00, 4, 4,
 1000, 1.00, 0.00,1, 0.00, 11.00, 16.00, 22, 17,
