n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 4.00, 1.00,1, 1.00, 22.00, 0.00, 0, 0,
 600, 5.00, 0.00,2, 0.00, 23.00, 13.00, 12, 12,
 900, 4.00, 1.00,1, 1.00, 27.00, 9.00, 11, 11,
 200, 3.00, 1.00,0, 1.00, 28.00, 2.00, 1, 1,
 700, 5.00, 0.00,2, 0.00, 25.00, 14.00, 13, 13,
 50, 5.00, 0.00,1, 1.00, 38.00, 1.00, 0, 0,
 300, 2.00, 0.00,1, 0.00, 23.00, 2.00, 2, 2,
 400, 4.00, 0.00,2, 1.00, 27.00, 6.00, 6, 5,
 500, 2.00, 0.00,1, 1.00, 27.00, 10.00, 8, 8,
 800, 4.00, 1.00,1, 1.00, 27.00, 12.00, 12, 12,
 100, 4.00, 1.00,1, 1.00, 26.00, 8.00, 4, 4,
 1000, 4.00, 1.00,1, 1.00, 27.00, 28.00, 22, 20,
